,Company Name,Salary,tags,Job Roles
56,SonicWall,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
57,Hewlett-Packard,100000,"['Senior', 'Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
58,Microsoft,100000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
59,Hewlett Packard Enterprise | HPE,900000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
60,Verifone,700000,"['Software', 'Development', 'Engineer', 'II', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
61,ZestMoney,1000000,"['Software', 'Development', 'Engineer', 'I', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
62,Altair Engineering,600000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
63,Oracle,200000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
64,Ola,500000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
65,Increff,1000000,"['Software', 'Development', 'Engineer', '(SDE1)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
66,Trellix,900000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
67,TestVagrant,400000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
68,Ola,200000,"['Software', 'Development', 'Engineer', 'In', 'Test', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
69,Publicis Sapient,300000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
70,SAP,100000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
71,Datami,900000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
72,HARMAN,900000,"['Senior', 'Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
73,McAfee,200000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
74,Signify,800000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
75,Fisdom,800000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
76,Khosla Labs,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
77,Gojek,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
78,LeadSquared,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
79,AppBroda Tech,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
80,Arcesium,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
81,Supermarket Grocery Supplies,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
82,Shubham Housing Development Finance,1000000,"['Software', 'Development', 'Engineer', '-', 'Intern', 'Bangalore', 'Intern', 'SDE']",['SDE']
83,InViz AI Solutions,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
84,Motogo,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
85,NIT Patna,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
86,Jason's Deli,1000000,"['Software', 'Development', 'Engineer', '-', 'Contractor', 'Bangalore', 'Contractor', 'SDE']",['SDE']
87,Indira Gandhi Delhi Technical University for Women,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
88,Tata CLiQ,1000000,"['Software', 'Development', 'Engineer', 'I', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
89,Betterhalf,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
